facility_name,city,facility_type,rooms,capacity,latitude,longitude
안중장례문화센타,평택시,사설,6,10,37.0030873758,126.95825042490002
송탄장례식장,평택시,사설,5,8,37.0882401696,127.07168275729998
금성장례식장,평택시,사설,5,10,37.1223403268,127.10258242260001
평택이편안장례문화원,평택시,사설,4,6,36.9974542323,126.95058080569999
송탄중앙병원장례식장,평택시,사설,4,8,37.0883924049,127.06398558220002
서정리장례식장,평택시,사설,5,8,37.055137185,127.06353484590001
중앙장례식장,평택시,사설,9,12,37.0325324127,127.0693085679
농협연합장례식장,평택시,사설,7,12,37.017836659,127.01274558880002
영북농협장례식장,포천시,사설,2,4,38.0725147874,127.2731980136
금강산장례문화원,포천시,사설,4,6,37.966927723,127.3133811705
우리병원장례식장,포천시,사설,4,12,37.82748770239999,127.14813598190001
포천장례문화원(주),포천시,사설,6,14,37.8472589807,127.1623408372
관인농협장례식장,포천시,사설,2,4,38.1581367057,127.25582287610001
경기도의료원 포천병원장례식장,포천시,공설,5,10,37.903093488799996,127.19834897350002
메디힐장례식장,포천시,사설,3,6,37.934860265800005,127.22619068739999
하남시 마루공원(장례식장),하남시,공설,6,16,37.522924314,127.2178688092
(재)하늘가장례식장,화성시,사설,4,8,37.1328527654,126.94200394130002
효원장례문화센타,화성시,사설,6,10,37.220908200400004,127.0262194025
한림대동탄성심병원장례식장,화성시,사설,6,12,37.216495729100004,127.07994166150002
화성유일병원장례식장,화성시,사설,4,6,37.217785377400006,126.83265861349999
화성현대장례문화원,화성시,사설,5,8,37.0423612446,126.79804460550001
봉담장례문화원,화성시,사설,6,10,37.1758432124,126.9367764622
송산장례문화원,화성시,사설,4,10,37.2026476121,126.7254687115
화성함백산장례식장,화성시,공설,8,10,37.270621263,126.91007331620001
교원예움 화성장례식장,화성시,사설,4,8,37.2017236377,126.78795104250001
원광종합병원장례식장,화성시,사설,5,8,37.2100622996,127.0080299071
조암장례식장,화성시,사설,5,6,37.0806285422,126.8232421461
화성중앙종합병원장례식장,화성시,사설,3,8,37.1313495282,126.9107734239
